Job Title,Resume
Accountant,"Summary
&nbsp;
Determined Accountant with three years of experience in personal and tax accounting. Excellent skills in mathematics, communication and organization with great proficiency in various accounting software.
Education
&nbsp;
Cloverfield College
Bachelor of Business Administration in accounting
Experience
&nbsp;
Gilmore Financial, New Orleans, LA, Certified Public Accountant
Oct. 2021 – Current
Meet with clients to discuss their accounting needs
Compute taxes for clients during tax season
Monitoring and recording activity for accounts payable and accounts receivable
Prepare balance sheets for corporate clients
Create budget forecasts for clients to help with financial planning
Harrison Money Management, New Orleans, LA, Accountant
Aug. 2020 – Oct. 2021
Prepared tax returns for clients during tax season
Helped the internal audit team complete annual audits
Updated monthly reports to reflect the financial standings of each client
Harrison Money Management, New Orleans, LA, Junior Accountant
May 2019 – Aug. 2020
Maintained accounts receivable and accounts payable for the department
Reviewed monthly payroll to ensure it's accurate before distribution
Prepared financial reports to share with clients
Certifications
&nbsp;
Certified Public Accountant (CPA)
Certified Financial Analyst (CFA)
Skills
&nbsp;
Proficiency in accounting software
Basic mathematics
Organizational skills
Attention to detail
Communication skills"
Accountant,"Summary
&nbsp;
Certified Public Accountant with 10 years in the industry and experience in tax preparation, auditing and accounting management. Exceptional skills in communication, attention to detail and data analysis.
Education
&nbsp;
Springtown College
Bachelor of Science in accounting
Experience
&nbsp;
Sparrow and Fly Accounting, New Orleans, LA, Accounting Manager
May 2019 – Current
Oversee the daily operations in the accounting department
Engage in auditing annually and quarterly internally and for clients
Prepare business activity reports for corporate clients
Complete tax planning throughout the fiscal year
Perform data analysis on potential capital investments and contract negotiations for corporate clients
Tumnus Financial, New Orleans, LA, Lead Accountant
Oct. 2015 – May 2019
Produced invoices and balance sheets for clients regularly
Helped clients organize their finances and compute their taxes during tax season
Provide support to the rest of the accounting teams
Tumnus Financial, New Orleans, LA, Certified Public Accountant
Jan. 2012 – Oct. 2015
Completed auditing and assurance services for corporate clients
Prepared and filed federal and state taxes to ensure clients received their tax returns
Filed reports with the Securities and Exchange Commission (SEC) to share and update financial data
Certifications
&nbsp;
Certified Management Accountant (CMA)
Certified Public Accountant (CPA)
Certified Internal Auditor (CIA)
Skills
&nbsp;
Expert-level knowledge of accounting
Auditing
Written and verbal communication
Time management
Data analysis"
Accounts Assistant,"Accountant Assistant
Detail-oriented Accountant Assistant with a strong background in managing accounts payable and receivable, preparing tax returns, and assisting with audits. Proven track record in reducing payment processing time by 20%, improving accuracy by 15%, and achieving a 100% compliance rate on tax filings. Skilled in payroll processing, budget analysis, financial forecasting, and inventory reconciliation, with a focus on identifying cost-saving opportunities and contributing to successful growth strategies.
WORK EXPERIENCE
Accountant Assistant
01/2023 – 04/2023
AssistAcc LLC
Managed accounts payable and accounts receivable, reducing payment processing time by 20% and improving accuracy by 15%.
Prepared and filed tax returns, resulting in a 100% compliance rate and saving the company $10,000 in penalties.
Assisted with audits, ensuring all financial records were accurate and up-to-date, resulting in a successful audit with no findings.
Payroll Specialist
09/2022 – 12/2022
RetailRevolution Inc.
Prepared and processed payroll for 100+ employees, reducing errors by 25% and improving timeliness by 20%.
Assisted with budget preparation and analysis, identifying cost-saving opportunities that resulted in a 10% reduction in expenses.
Monitored and reconciled inventory, reducing discrepancies by 15% and improving accuracy in financial reporting.
Junior Accountant
07/2022 – 09/2022
AssistAccount Innovations
Reconciled bank accounts and credit card statements, identifying and resolving discrepancies that resulted in a 95% accuracy rate.
Prepared financial statements and reports, providing key insights to management that led to a 5% increase in revenue.
Assisted with financial forecasting and planning, contributing to the development of a successful growth strategy that resulted in a 10% increase in profits.
SKILLS & COMPETENCIES
Accounts Payable Management
Accounts Receivable Management
Tax Preparation and Filing
Audit Assistance
Payroll Processing
Budget Preparation and Analysis
Inventory Reconciliation
Bank Account Reconciliation
Financial Statement Preparation
Financial Forecasting and Planning
Credit Card Statement Reconciliation
Cost-saving Analysis
Financial Reporting
Revenue Growth Strategies
Proficiency in Accounting Software (e.g., QuickBooks, Excel)
Attention to Detail
Time Management
Problem-solving
Strong Communication Skills
Teamwork and Collaboration
COURSES / CERTIFICATIONS
Certified Bookkeeper (CB)
06/2023
American Institute of Professional Bookkeepers (AIPB)
Certified Management Accountant (CMA)
06/2022
Institute of Management Accountants (IMA)
Certified Public Accountant (CPA)
06/2021
American Institute of Certified Public Accountants (AICPA)
Education
Associate of Science in Accounting
2019-2021
Portland State University
,
Portland, OR
Accounting
Business Administration"
Accounts Assistant,"Accounting Assistant
City, Country  •  (123) 456-789  •  yourname@resumeworded.com  •  linkedin.com/in/your-profile
EXPERIENCE
Resume Worded
March 2019 - Present
Lead Accounting Assistant
Championed a company-wide transition to cloud-based accounting, reducing system downtime by 40% and increasing data accessibility.
Devised a quarterly internal control policy, curtailing financial risk and safeguarding assets totaling over $5M.
Executed a cash flow analysis technique that predicted financial trajectories with 98% accuracy, instrumental for quarterly planning.
Trained and supervised a team of 4 accounting assistants, leading to a 20% improvement in departmental efficiency.
Masterminded a vendor payment schedule that improved cash management, averting late fees and leveraging early payment discounts.
Coached.com
July 2015 - February 2019
Accounting Assistant
Automated expense report generation, cutting down preparation time by 50%, and elevating report precision.
Restructured the client billing process, which accelerated invoice issuance and improved cash flow by 20%.
Oversaw quarterly tax preparations, ensuring all filings were punctual and reduced errors by 25%.
BDO
January 2015 - June 2015
Audit Intern
Aided in forensic accounting investigations that recuperated $100,000 in misappropriated funds.
EDUCATION
Resume Worded Institute
February 2019
Certified Management Accountant (CMA)
Acquired advanced management accounting and financial management skills.
Resume Worded University
May 2015
Bachelor of Science in Accounting
Graduated cum laude. Maintained full academic schedule while completing Audit Internship (Part-time).
SKILLS
Accounting Software: QuickBooks, FreshBooks, Xero, Sage 50cloud, Microsoft Dynamics GP, Zoho Books
Data Management & Reporting: Advanced Excel, SQL, Tableau, PowerBI, MS Access, Visual Basic for Applications (VBA)
Financial Processes: Accounts Receivable/Payable, General Ledger, Bank Reconciliation, Financial Statements, Budgeting, Tax Preparation
Compliance & Regulations: GAAP, Sarbanes-Oxley (SOX), Internal Audits, Tax Laws, Financial Ethics, Regulatory Guidelines
OTHER
Professional Development: Attended Annual Accounting Trends Symposium (2021), Completed Advanced Excel for Finance Professionals Course
Awards & Recognitions: Employee of the Quarter at Coached.com for Q4 2018
Professional Memberships: Member of the Institute of Management Accountants (IMA)
Community Service: Volunteer Tax Preparer for the Community Tax Aid (CTA) program"
Acoustic Engineer,"Work Experience
Senior Acoustic Engineer
12/2016 - PRESENT
Chicago, IL

    Fluent in at least one acoustic computer modeling tool (e.g. Pspice, FEA, WinISD, etc.)
    Excellent verbal & written communication skills, comfortable with reading and writing detailed technical specifications
    Knowledge of electronic amplifier design, behavior and constraints
    Non-linear modeling, measurement and analysis
    We value your experience working with off shore manufacturers
    Proficient in audio signal processing
    Experience in acoustic and structural resonance and vibration
    Proven success in the areas of design, manufacturing, and failure analysis of audio systems
    Experience with mass production and or shipping a consumer product

Acoustic Engineer
04/2013 - 09/2016
San Francisco, CA

    Lead and manage a small team
    Good command of English language, both written and verbal
    A vehicle in suitable working order and a valid driver’s license are an asset
    Adhere to the Company’s Business Ethics Standards
    Delegate responsibilities as appropriate and provide guidance in overseeing, reviewing, programming and evaluating technical issues on projects to junior staff
    Experience and demonstrated ability to supervise and mentor junior staff
    Experience in building/architectural acoustics, environmental noise, and road traffic noise
    Experience and demonstrated ability to project manage large acoustic projects; and
    Experience and demonstrated ability to contribute to business development

Junior Acoustic Engineer
02/2007 - 10/2012
Detroit, MI

    Experienced with integration of speakers & microphones
    Addressing challenging problems with local and international clients
    Data collection, modeling, post-processing, analysis documentation of results
    Conducting field measurements and inspections
    Writing technical reports covering methodology, results and recommendations
    Preparing proposals, marketing materials and/or technical papers
    Acoustic Consultancy experience
    Strong experience with large transport infrastructure acoustic projects
    Forge strong relationships with new and existing clients

Education
University of Pittsburgh at Bradford
2001 - 2006
Engineer's Degree in Engineering
Professional Skills

    Excellent communication skills, including strong report writing skills
    Excellent technical writing skills and oral communication skills
    Excellent time management skills, with the ability to juggle conflicting priorities
    Excellent interpersonal, communication and influencing skills, including in English
    Excellent communication skills and ability to collaborate with others
    Good interpersonal skills, able to communicate effectively in global audio teams across different design centers
    Demonstrated hands-on working style including experience with acoustic related laboratory equipment (e.g. B&K, Pulse, Listen SoundCheck™, Polytec, etc.)"
Acoustic Engineer,"Experience
Phoenix, AZ
Okuneva-Wisoky

    Work hands-on in the lab, as well as through technicians and engineers, to test, debug and improve headset products
    Manage and operate the acoustics laboratory for engineering development, characterization, and standardized measurements
    Provide acoustics domain expertise to Engineering for both existing and new product developments
    Developing and tuning of acoustical components and applications within new product development projects especially microphone in Pro projects
    Develop and enhance relationships with clients
    Perform onsite noise and vibration surveys
    Quality and safety relevant work

Phoenix, AZ
Tillman, Grimes and McDermott

    Business development – including developing client relationships, networking, and delivering presentations
    Develop production ready designs and maintain highest performance throughout the development cycle
    Work in accordance with AECOM’s Safety, Health & Environment and Quality Management System policies
    Provide input to development schedules, milestones, and budgets
    Establish and maintain contact with new/potential client partners, to develop lasting relationships and closed sales opportunities
    Project management, including coordination of technical staff, project and contract administration and financial management
    Assist engineering with design modification of acoustic subsystems and systems for development

San Francisco, CA
Cole-Breitenberg
present

    Initiate and maintain contacts within industry in order to assist the company in obtaining its work
    Provide a high level of service for the client and other members of the project team
    Developing business growth opportunities
    Providing guidance, mentoring and technical support to staff
    Ensuring financial management of projects assigned including fee invoicing and debtor control
    Ensure financial management of projects
    Provide guidance, mentoring and technical support to staff

Education
Bachelor’s Degree in Acoustics
North Carolina State University
Skills

    Proven technical ability in terms of problem solving and analytical thinking
    Ability to manage time, resources and projects effectively]
    Good understanding of applicable equipment rating and test standards, including those of the Air-Conditioning Heating & Refrigeration Institute (AHRI), ASHRAE, AMCA International, International Organization for Standardization (ISO), American National Standards Institute (ANSI) and ASTM International
    Take a leadership role in research and standardization activities of professional and trade associations
    Provide direction and advice to product development teams for quiet, reliable and low cost designs
    Concern for quality
    Strong oral, written, and presentation skills
    Ability to execute several projects at once without supervision
    Willing and able to work within team environment and involve others where necessary
    Ability to synthesize information from multiple sources into robust solutions
"
Actor,"Profile

Award-winning Actor with extensive experience in film, television, and theatre, boasting a diverse portfolio of credits that include starring roles in acclaimed Hollywood movies, over 50 commercials, appearances in 5 television shows, and performances in 12 theatrical plays and musicals. Recognized for exceptional attention to detail, mastery of dramatic techniques, commanding stage/screen presence, and proven ability to collaborate effectively within a team.
Work Experience
06/2017 - present, Freelance Actor, United States

    Starred in over 50 commercials for leading companies, including Coca-Cola, KFC, Timberland, Hyundai, and Tag Heuer.
    Participated in numerous auditions, meticulously studied roles, and memorized lines.
    Featured in 4 Hollywood movies (Free Solo, A Prayer Before Dawn, 6 Balloons, Monsters and Men) and appeared in 5 television shows (Queer Eye, Forever, High Maintenance, Westworld, Better Call Saul).
    Collaborated closely with directors to ensure successful execution of their creative vision.
    Recognized with nominations for the 2018 BAFTA Award for Best Actor in a Supporting Role and the 2018 Into Film Award for Best Actor.

06/2015 - 06/2017, Actor, Gershwin Theatre, New York City, NY, United States

    Performed in 12 theatrical plays and musicals, including The Woman in Black, One Man, Two Guvnors, Noises Off, War Horse, Flare Path, and An Inspector Calls (audience of over 2,000 per show).
    Researched each theatre role extensively to thoroughly understand the character.
    Memorized lengthy scripts within strict timelines.
    Maintained peak physical condition and health.
    Collaborated closely with directors, producers, costume designers, and fellow actors.
    Received nominations for 2015 Drama Desk Award, 2015 Lucille Lortel Award, and 2016 New York Drama Critics' Circle Awards for best actor in a play.
    Recipient of the 2016 New York Drama Critics' Circle Award.

Education
09/2012 - 05/2015, Performing Arts, New York University, New York City, NY, United States

    Ranked in the top 5% of the Performing Arts program
    Participated in clubs and societies such as Film Society, Student Theatre, and Swimming Club.

09/2008 - 05/2012, High School, Yarmouth High School, Yarmouth, ME, United States

    Achieved graduation with distinction
    Demonstrated outstanding academic performance
    Engaged in extracurricular activities and leadership roles
    Volunteered in community service initiatives
    Honored with academic awards and scholarships

Skills
Languages
English
French
Spanish
Acting Skills
Body Language
Dramatic Techniques
Stage/Screen Presence
Dance
Singing
Interpersonal Skills
Ability to Work under Pressure
Creative
Detail-oriented
Teamwork
Time Management
Volunteering
08/2017 - present, Charity Fundraiser, Feeding America, Los Angeles, CA, United States
MEMBERSHIPS
01/2019, British Film Institute Fellowship
08/2018, Actors' Equity Association
Hobbies
Exploring distant lands
Capturing moments
Every kind of sport"
Actor,"VOICE ACTING EXPERIENCE
Adventures of Captain Courage - Captain
Courage | 2021-2022
The Adventures of Mia and Max - Max |
2020-2021
Mysteries of the Universe - Narrator | 2019-
2020
Kingdoms of Fantasy - Sir Reginald | 2018-
2019
Furry Friends Adventure - Whiskers the
Talking Cat | 2017-2018
Epic Quest: The Prophecy Unveiled - Cedric
the Valiant | 2016-2017
TECHNICAL SKILLS
Adobe Audition
Neumann U87
Google Docs
Source-Connect
Melodyne
SpeechAce
Dragon NaturallySpeaking
BodalgoCall
RELATED SKILLS
Vocal Technique
Emotional Range
Script Analysis
Technical Proficiency
EDUCATION
Bachelor of Science
Theatre
Northwestern University
2012 - 2016
Evanston, IL
TRAINING
Character Mastery Workshop |
ProVoice Academy | 2020
Acting and Voiceover Class | Act
One Studios | Chicago, IL | 2019
Voice Acting Essentials | Creative
Voice Studio | 2018
VOCAL
ATTRIBUTES
Clarity
Versatility
Emotional Range
Pitch Control
Rhythm and Timing
Resonance
Diction and Enunciation
Breath Control"
Actuary,"Summary

Professional actuary with 3+ years of experience in life insurance services. Seeking to improve data accuracy at Investor Reactor. At Express Affinity, repriced a small group product based on data interpretation. Result was a 40% decrease in loss ratio.

Experience

Actuarial Analyst
Express Affinity
Aug 2018–Jan 2020

Key Qualifications & Responsibilities

Analyzed financial downside and upside of risk for family of group life products in a national insurance firm with $30.7 billion in annual revenue.
Created pricing model and PPO network guidelines for corporate underwriting.
Repriced a small group product resulting in 40% decrease in loss ratio.
Trained 8 new-hires in actuarial work.
Completed 5–10 regulatory filings a year and responded to objections.
Assisted in developing and maintaining pricing for the current 30+ Express Affinity's Group Life product.
Key Achievement:

Created map for underwriting displaying loss ratio and utilization of PPO network. Result: reduced time spent analyzing data by 50%.
Actuary
Globe Obelisk
June 2017 to July 2018

Decreased costs by $220M for a $2B pension trust fund through new policy development.
Reduced turnaround time 45% through redesigning 2 project processes.
Supervised 5 interns working in multiple risk adjustment projects.
Accounting Professor
Union College
May 2015 to May 2017

Used strong knowledge of accounting principles to create and deliver 200+ lectures, plus tests and quizzes.
Conducted actuarial professional development offerings.
Increased enrollment in college business courses by 45% through strong communication and teamwork skills.
Education

BS in Business Administration, University of Florida
2011-2015

Completed a senior project in finance.
Pursued a passion for business & actuarial coursework.
Skills

Microsoft Office
SAS
Project Management
Data Analysis
Oracle
Punctual
Reliable
Mature
Volunteer Counselor, Society of Actuaries

Counsel 20+ actuaries in best practices.
Wrote 3 articles for SOA blog on actuarial insight and corporate governance.
Freelance Actuary

Provided governance insights to 10+ corporate clients.
Led small team of data science freelancers to deliver big-data insights with visualizations."
Actuary,"Highly accomplished and results-driven professional with extensive experience in actuarial science. Proven track record of successfully leading finance teams, producing detailed reports and forecasts, implementing innovative financial procedures, and conducting business projections. Possesses exceptional analytical abilities and thrives in high-pressure environments.

Work experience
08/2017 - 02/2019, Actuary, Phoenix Group, Inc., Paris, France
Spearheaded initiatives to minimize financial risk and enhance operational efficiency.
Supervised a team of 3 actuarial assistants, ensuring the accuracy and adherence to company standards in financial analysis.
Produced comprehensive reports, forecasts, and trend analyses.
Achieved a 25% reduction in financial process costs.
07/2016 - 08/2017, Actuarial Assistant, Argo Group, Inc., Paris, France
Produced actuarial reports and conducted financial analysis (IFRS, MCEV, Solvency, etc.).
Collaborated with the Financial team to develop new financial procedures, forecasts, business projections, and risk management processes.
Assisted in the annual audit process.
Delivered presentations, actuarial opinions, and executive summaries.
Education
09/2012 - 05/2016, Economics & Finance, ESSEC Business School, Paris, France
Attained top 5% ranking in the Economics & Finance Programme
Participated in FinTech Society, Riding Club, and Swimming Club
09/2008 - 05/2012, Gymnasium, Second Gymnasium Maribor, Maribor, Slovenia
Achieved graduation with distinction, earning the best grade in all subjects.
Skills
Languages
Slovenian
French
English
Computer Skills
Microsoft Office
GnuCash, AceMoney Lite
Quantrix, GIDE Financial Modelling
Interpersonal Skills
Ability to Work under Pressure
Analytical Skills
Communication Skills
Good Team Player
Leadership Skills
Time Management
Volunteering
06/2014 - 08/2014, French Tutor, EF Education, Udon Thani, Thailand
Certificates
06/2017, Certified Actuarial Analyst, Institute and Faculty of Actuaries"
